Scheme Name	Net Asset Value
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.6345
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.3599
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.4146
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.7983
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.5459
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.4849
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.1445
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	14.8852
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.6906
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	114.0216
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	112.1473
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.6187
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9028
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	11.9294
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.7077
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2095
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2261
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	13.9611
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3385
Axis Corporate Bond Fund - Direct Plan Growth	17.8953
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2088
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1863
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.0751
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2202
Axis Corporate Bond Fund - Regular Plan Growth	16.9232
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.4118
BANDHAN Corporate Bond Fund - Direct Growth	19.6197
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6893
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3332
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.0164
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7378
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.4014
BANDHAN Corporate Bond Fund - Regular Growth	19.0622
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0782
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5857
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.8505
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7730
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.3496
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.5296
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4348
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.4964
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.5812
